Play,Name,Type,Contracts,Entry,Target,Stop,Time_Exit,Capital
1,Gamma Scalp,CALL $58,2,0.9,1.35,0.5850000000000001,3:45 PM TODAY,180.0
2,Directional,CALL $57,1,1.65,2.3099999999999996,1.2374999999999998,Tomorrow 10 AM,165.0
3,Credit Spread,PUT $56/$55,2,0.009999999999999995,0.0049999999999999975,0.7424999999999999,Friday Expiration,198.0
