contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
OXY260320C00057000,2026-03-18 16:58:49+00:00,57.0,1.74,1.61,1.76,0.44000006,33.84616,237,2308,0.44727115234375,True,REGULAR,USD
OXY260320C00057500,2026-03-18 17:19:37+00:00,57.5,1.27,1.25,1.33,0.29999995,30.92783,174,3955,0.39942006835937505,True,REGULAR,USD
OXY260320C00058000,2026-03-18 17:34:51+00:00,58.0,1.0,0.92,1.0,0.27999997,38.88888,1053,4177,0.38672488281249995,True,REGULAR,USD
OXY260320C00059000,2026-03-18 17:33:26+00:00,59.0,0.48,0.48,0.5,0.07999998,19.999994,2334,1551,0.36914693359375,False,REGULAR,USD
